NAME,KEY,H0160001,H0160002,H0160003,H0160004,H0160005,H0160006,H0160007,H0160008,H0160009,H0160010,H0160011,H0160012,H0160013,H0160014,H0160015,H0160016,H0160017,H0040001,P0030001,STATE,COUNTY,TRACT,BLKGRP,BLOCK
Block 1034,36109126069999900130011034,10,6,0,2,2,1,0,0,1,4,3,1,0,0,0,0,0,10,26,36,109,001300,1,1034
Block 1035,36109126069999900130011035,29,21,6,9,5,0,0,1,0,8,1,3,3,1,0,0,0,29,65,36,109,001300,1,1035
Block 1037,36109126069999900130011037,4,3,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,4,7,36,109,001300,1,1037
Block 3027,36109126069999900140033027,19,13,0,7,1,4,1,0,0,6,1,4,0,1,0,0,0,19,51,36,109,001400,3,3027
Block 3028,36109126069999900140033028,23,14,3,7,1,2,1,0,0,9,2,1,3,1,2,0,0,23,60,36,109,001400,3,3028
Block 1003,36109126069999900190011003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,001900,1,1003
Block 1004,36109126069999900190011004,4,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,9,36,109,001900,1,1004
Block 1005,36109126069999900190011005,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,36,109,001900,1,1005
Block 1006,36109126069999900190011006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,001900,1,1006
Block 1007,36109126069999900190011007,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,36,109,001900,1,1007
Block 1008,36109126069999900190011008,6,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,10,36,109,001900,1,1008
Block 1009,36109126069999900190011009,70,34,6,14,7,3,2,1,1,36,13,14,7,2,0,0,0,70,160,36,109,001900,1,1009
Block 1013,36109126069999900190011013,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,36,109,001900,1,1013
Block 1014,36109126069999900190011014,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,36,109,001900,1,1014
Block 1015,36109126069999900190011015,11,9,3,5,0,1,0,0,0,2,1,1,0,0,0,0,0,11,20,36,109,001900,1,1015
Block 1016,36109126069999900190011016,23,21,4,10,2,3,0,2,0,2,1,1,0,0,0,0,0,23,57,36,109,001900,1,1016
Block 1017,36109126069999900190011017,35,21,6,11,3,1,0,0,0,14,3,3,3,3,1,1,0,35,82,36,109,001900,1,1017
Block 1018,36109126069999900190011018,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,36,109,001900,1,1018
Block 1019,36109126069999900190011019,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,36,109,001900,1,1019
Block 1020,36109126069999900190011020,26,11,1,4,2,3,0,1,0,15,6,8,1,0,0,0,0,26,58,36,109,001900,1,1020
Block 1021,36109126069999900190011021,43,20,4,9,3,4,0,0,0,23,21,2,0,0,0,0,0,43,72,36,109,001900,1,1021
Block 1022,36109126069999900190011022,11,10,2,6,2,0,0,0,0,1,0,1,0,0,0,0,0,11,22,36,109,001900,1,1022
Block 1026,36109126069999900190011026,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,36,109,001900,1,1026
Block 1027,36109126069999900190011027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,001900,1,1027
Block 1028,36109126069999900190011028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,001900,1,1028
Block 1029,36109126069999900190011029,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,7,36,109,001900,1,1029
Block 1030,36109126069999900190011030,17,12,2,5,5,0,0,0,0,5,1,2,2,0,0,0,0,17,38,36,109,001900,1,1030
Block 1031,36109126069999900190011031,3,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,4,36,109,001900,1,1031
Block 1032,36109126069999900190011032,10,8,1,5,1,0,1,0,0,2,1,1,0,0,0,0,0,10,22,36,109,001900,1,1032
Block 1033,36109126069999900190011033,45,36,6,17,7,5,1,0,0,9,1,5,2,1,0,0,0,45,107,36,109,001900,1,1033
Block 1034,36109126069999900190011034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,001900,1,1034
Block 1035,36109126069999900190011035,26,23,5,11,5,1,0,0,1,3,2,0,1,0,0,0,0,26,58,36,109,001900,1,1035
Block 1036,36109126069999900190011036,9,8,1,6,0,0,1,0,0,1,0,0,0,0,1,0,0,9,23,36,109,001900,1,1036
Block 1037,36109126069999900190011037,5,3,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,5,8,36,109,001900,1,1037
Block 1038,36109126069999900190011038,20,17,3,3,7,3,0,1,0,3,3,0,0,0,0,0,0,20,51,36,109,001900,1,1038
Block 1039,36109126069999900190011039,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,36,109,001900,1,1039
Block 1040,36109126069999900190011040,28,23,5,14,2,0,1,1,0,5,3,1,1,0,0,0,0,28,58,36,109,001900,1,1040
Block 1041,36109126069999900190011041,9,6,3,2,0,1,0,0,0,3,0,0,1,2,0,0,0,9,22,36,109,001900,1,1041
Block 1042,36109126069999900190011042,4,4,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,4,16,36,109,001900,1,1042
Block 1043,36109126069999900190011043,12,8,1,3,3,0,1,0,0,4,0,0,1,1,1,1,0,12,39,36,109,001900,1,1043
Block 1044,36109126069999900190011044,6,5,1,2,0,1,1,0,0,1,1,0,0,0,0,0,0,6,15,36,109,001900,1,1044
Block 1045,36109126069999900190011045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,001900,1,1045
Block 1046,36109126069999900190011046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,001900,1,1046
Block 1047,36109126069999900190011047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,001900,1,1047
Block 1048,36109126069999900190011048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,001900,1,1048
Block 1049,36109126069999900190011049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,001900,1,1049
Block 1050,36109126069999900190011050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,001900,1,1050
Block 1051,36109126069999900190011051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,001900,1,1051
Block 1052,36109126069999900190011052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,001900,1,1052
Block 1053,36109126069999900190011053,6,5,2,1,0,2,0,0,0,1,1,0,0,0,0,0,0,6,13,36,109,001900,1,1053
Block 1054,36109126069999900190011054,3,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,3,7,36,109,001900,1,1054
Block 1055,36109126069999900190011055,21,17,2,7,6,1,0,1,0,4,0,1,1,1,1,0,0,21,58,36,109,001900,1,1055
Block 1056,36109126069999900190011056,5,3,0,1,1,1,0,0,0,2,0,1,0,1,0,0,0,5,15,36,109,001900,1,1056
Block 1057,36109126069999900190011057,20,16,6,6,2,1,1,0,0,4,1,1,0,1,1,0,0,20,45,36,109,001900,1,1057
Block 1058,36109126069999900190011058,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,36,109,001900,1,1058
Block 1059,36109126069999900190011059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,001900,1,1059
Block 1060,36109126069999900190011060,12,11,1,5,2,1,0,1,1,1,0,1,0,0,0,0,0,12,37,36,109,001900,1,1060
Block 1061,36109126069999900190011061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,001900,1,1061
Block 1062,36109126069999900190011062,3,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,9,36,109,001900,1,1062
Block 1063,36109126069999900190011063,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,36,109,001900,1,1063
Block 1064,36109126069999900190011064,17,17,4,8,3,1,1,0,0,0,0,0,0,0,0,0,0,17,38,36,109,001900,1,1064
Block 1065,36109126069999900190011065,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,36,109,001900,1,1065
Block 1066,36109126069999900190011066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,001900,1,1066
Block 1067,36109126069999900190011067,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,8,36,109,001900,1,1067
Block 1068,36109126069999900190011068,9,6,0,4,2,0,0,0,0,3,2,1,0,0,0,0,0,9,18,36,109,001900,1,1068
Block 1071,36109126069999900190011071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,001900,1,1071
Block 2000,36109126069999900190022000,10,5,5,0,0,0,0,0,0,5,4,0,1,0,0,0,0,10,12,36,109,001900,2,2000
Block 2001,36109126069999900190022001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,001900,2,2001
Block 2002,36109126069999900190022002,14,2,0,2,0,0,0,0,0,12,1,3,4,2,1,1,0,14,42,36,109,001900,2,2002
Block 2003,36109126069999900190022003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,001900,2,2003
