id,lon,lat,yagis
1,37.95,29.79,0.012866
2,37.95,29.83,0.009377
3,37.95,29.87,0.006388
4,37.95,29.91,0.020463
5,37.95,29.95,0.049021
6,37.95,29.99,0.076894
7,37.95,30.03,0.086281
8,37.95,30.07,0.083256
9,37.95,30.11,0.08023
10,37.95,30.15,0.077711
11,37.95,30.19,0.075872
12,37.95,30.23,0.074541
13,37.95,30.27,0.077483
14,37.95,30.31,0.08194
15,37.95,30.35,0.086456
16,37.95,30.39,0.083787
17,37.95,30.43,0.079556
18,37.95,30.47,0.075626
19,37.95,30.51,0.078258
20,37.95,30.55,0.082023
21,37.95,30.59,0.085936
22,37.95,30.63,0.069343
23,37.95,30.67,0.052091
24,37.95,30.71,0.035682
25,37.95,30.75,-0.015105
26,37.95,30.79,-0.026807
27,37.95,30.83,-0.031799
28,37.95,30.87,-0.032082
29,37.95,30.91,-0.03231
30,37.95,30.95,-0.031163
31,37.95,30.99,-0.017754
32,37.95,31.03,0.014361
33,37.95,31.07,0.106355
34,37.95,31.11,0.106053
35,37.95,31.15,0.105705
36,37.95,31.19,0.103613
37,37.95,31.23,0.097009
38,37.95,31.27,0.090393
39,37.95,31.31,0.030778
40,37.95,31.35,-0.019035
41,37.95,31.39,-0.034706
42,37.95,31.43,-0.035518
43,37.95,31.47,-0.020198
44,37.95,31.51,0.012519
45,37.95,31.55,0.050629
46,37.95,31.59,0.049602
47,37.95,31.63,0.05038
48,37.95,31.67,0.057854
49,37.95,31.71,0.069989
50,37.95,31.75,0.082866
51,37.95,31.79,0.089432
52,37.95,31.83,0.091534
53,37.95,31.87,0.093275
54,37.95,31.91,0.094822
55,37.95,31.95,0.096589
56,37.95,31.99,0.098603
57,37.95,32.03,0.088493
58,37.95,32.07,0.075127
59,37.99,29.79,0.036893
60,37.99,29.83,0.032497
61,37.99,29.87,0.028449
62,37.99,29.91,0.033544
63,37.99,29.95,0.045923
64,37.99,29.99,0.058812
65,37.99,30.03,0.068411
66,37.99,30.07,0.075752
67,37.99,30.11,0.082864
68,37.99,30.15,0.080307
69,37.99,30.19,0.073918
70,37.99,30.23,0.067871
71,37.99,30.27,0.068838
72,37.99,30.31,0.071999
73,37.99,30.35,0.075249
74,37.99,30.39,0.068528
75,37.99,30.43,0.059969
76,37.99,30.47,0.051663
77,37.99,30.51,0.056071
78,37.99,30.55,0.062091
79,37.99,30.59,0.068276
80,37.99,30.63,0.048398
81,37.99,30.67,0.028472
82,37.99,30.71,0.007418
83,37.99,30.75,-0.023587
84,37.99,30.79,-0.030144
85,37.99,30.83,-0.032807
86,37.99,30.87,-0.033125
87,37.99,30.91,-0.033446
88,37.99,30.95,-0.032489
89,37.99,30.99,-0.021212
90,37.99,31.03,0.006219
91,37.99,31.07,0.087107
92,37.99,31.11,0.096844
93,37.99,31.15,0.106818
94,37.99,31.19,0.11287
95,37.99,31.23,0.108941
96,37.99,31.27,0.104877
97,37.99,31.31,0.056161
98,37.99,31.35,0.000314
99,37.99,31.39,-0.02169
100,37.99,31.43,-0.023781
101,37.99,31.47,-0.005051
102,37.99,31.51,0.035143
103,37.99,31.55,0.078864
104,37.99,31.59,0.072288
105,37.99,31.63,0.065344
106,37.99,31.67,0.068201
